z_score,probability,probability_2
4.08,0.000158953,0.000399133
4.09,0.000155044,0.000390918
4.1,0.000151215,0.000382863
4.11,0.000147465,0.000374966
4.12,0.000143793,0.000367222
4.13,0.000140197,0.00035963
4.14,0.000136675,0.000352188
4.15,0.000133226,0.000344891
4.16,0.000129849,0.000337737
4.17,0.000126541,0.000330724
4.18,0.000123303,0.000323849
4.19,0.000120132,0.00031711
4.2,0.000117027,0.000310504
4.21,0.000113986,0.000304028
4.22,0.00011101,0.000297681
4.23,0.000108095,0.000291459
4.24,0.000105241,0.000285361
4.25,0.000102448,0.000279384
4.26,9.97124E-05,0.000273525
4.27,9.70345E-05,0.000267784
4.28,9.4413E-05,0.000262157
4.29,9.18465E-05,0.000256642
4.3,8.93342E-05,0.000251237
4.31,8.68748E-05,0.000245941
4.32,8.44673E-05,0.000240751
4.33,8.21106E-05,0.000235665
4.34,7.98038E-05,0.000230681
4.35,7.75458E-05,0.000225797
4.36,7.53357E-05,0.000221012
4.37,7.31725E-05,0.000216323
4.38,7.10552E-05,0.000211729
4.39,6.89829E-05,0.000207227
4.4,6.69548E-05,0.000202817
4.41,6.49698E-05,0.000198496
4.42,6.30272E-05,0.000194263
4.43,6.1126E-05,0.000190115
4.44,5.92655E-05,0.000186052
4.45,5.74448E-05,0.000182072
4.46,5.5663E-05,0.000178173
4.47,5.39195E-05,0.000174354
4.48,5.22134E-05,0.000170612
4.49,5.05439E-05,0.000166947
4.5,4.89103E-05,0.000163358
4.51,4.73119E-05,0.000159841
4.52,4.5748E-05,0.000156397
4.53,4.42177E-05,0.000153024
4.54,4.27205E-05,0.00014972
4.55,4.12557E-05,0.000146484
4.56,3.98225E-05,0.000143315
4.57,3.84204E-05,0.000140211
4.58,3.70487E-05,0.000137172
4.59,3.57067E-05,0.000134195
4.6,3.43939E-05,0.00013128
4.61,3.31097E-05,0.000128426
4.62,3.18534E-05,0.00012563
4.63,3.06244E-05,0.000122893
4.64,2.94223E-05,0.000120213
4.65,2.82464E-05,0.000117588
4.66,2.70963E-05,0.000115018
4.67,2.59712E-05,0.000112502
4.68,2.48709E-05,0.000110039
4.69,2.37946E-05,0.000107627
4.7,2.27419E-05,0.000105265
4.71,2.17124E-05,0.000102953
4.72,2.07055E-05,0.000100689
4.73,1.97208E-05,9.84734E-05
4.74,1.87577E-05,9.63041E-05
4.75,1.78159E-05,9.41806E-05
4.76,1.68949E-05,9.2102E-05
4.77,1.59942E-05,9.00673E-05
4.78,1.51135E-05,8.80756E-05
4.79,1.42522E-05,8.61259E-05
4.8,1.341E-05,8.42175E-05
4.81,1.25865E-05,8.23496E-05
4.82,1.17813E-05,8.05215E-05
4.83,1.0994E-05,7.87323E-05
4.84,1.02242E-05,7.69813E-05
4.85,9.47152E-06,7.52679E-05
4.86,8.73561E-06,7.35911E-05
4.87,8.0161E-06,7.19503E-05
4.88,7.31266E-06,7.03445E-05
4.89,6.62493E-06,6.87729E-05
4.9,5.95258E-06,6.72348E-05
4.91,5.29529E-06,6.5729E-05
4.92,4.65275E-06,6.42546E-05
4.93,4.02462E-06,6.28129E-05
4.94,3.41059E-06,6.14028E-05
4.95,2.81037E-06,6.00223E-05
4.96,2.22365E-06,5.86716E-05
4.97,1.65015E-06,5.73501E-05
4.98,1.08958E-06,5.6057E-05
4.99,5.41663E-07,5.47919E-05
5,0,5.41664E-05
